web_scraper_order,web_scraper_start_url,Rooms_,Living Area m2_,Rent CHF_,Address_
"1768319267-1","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","1.5 Zimmer","24m²","CHF 2’164.–","Siewerdtstrasse 75, 8050 Zürich"
"1768319267-2","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","1.5 Zimmer","23m²","CHF 1’995.–","Bernerstrasse Süd 167-169, 8048 Zürich"
"1768319267-3","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","1.5 Zimmer","24m²","CHF 2’185.–","Hagenholzstrasse 59, 8050 Zürich"
"1768319267-4","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","4.5 Zimmer","123m²","CHF 5’150.–","Freiestrasse 47, 8032 Zürich"
"1768319267-5","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","2.5 Zimmer","72m²","CHF 3’170.–","Molkenstrasse 17, 8004 Zürich"
"1768319267-6","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","4.5 Zimmer","152m²","CHF 6’205.–","Hagenholzstr. 55, 8050 Zürich"
"1768319267-7","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","3.5 Zimmer","85m²","CHF 3’450.–","Zollikerstrasse 265, 8008 Zürich"
"1768319267-8","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","2.5 Zimmer","60m²","CHF 2’620.–","Freihofstrasse 23, 8048 Zürich"
"1768319267-9","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","5.5 Zimmer","122m²","CHF 4’650.–","Buchholzstrasse 13, 8053 Zürich"
"1768319267-10","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","3.5 Zimmer","79m²","CHF 3’100.–","Buchholzstrasse 9, 8053 Zürich"
"1768319267-11","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","2.5 Zimmer","76m²","CHF 3’090.–","8003 Zürich"
"1768319267-12","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","4.5 Zimmer","93m²","CHF 4’070.–","Buchholzstrasse 13, 8053 Zürich"
"1768319267-13","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","4.5 Zimmer","124m²","CHF 5’200.–","Dübendorfstrasse 311, 8051 Zürich"
"1768319267-14","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","2.5 Zimmer","94m²","CHF 5’400.–","Weinbergstrasse 45, 8006 Zürich"
"1768319267-15","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","2.5 Zimmer","68m²","CHF 3’390.–","Götzstrasse 19, 8006 Zürich"
"1768319267-16","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","2.5 Zimmer","55m²","CHF 3’100.–","Gubelstrasse 64, 8050 Zürich"
"1768319267-17","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","3.5 Zimmer","","CHF 3’390.–","Dienerstrasse 50, 8004 Zürich"
"1768319267-18","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","2.5 Zimmer","56m²","CHF 3’440.–","Bäckerstrasse 60, 8004 Zürich"
"1768319267-19","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","4.5 Zimmer","125m²","CHF 4’790.–","Bucheggstr. 130, 8057 Zürich"
"1768319267-20","https://www.immoscout24.ch/de/immobilien/mieten/ort-zuerich?20","4.5 Zimmer","250m²","CHF 5’150.–","Stampfenbachstrasse 115, 8006 Zürich"
